year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1920,AL,CHA,CHW,,2,154,96,58,,,N,N,794,665,Chicago White Sox,833492,
1921,AL,CHA,CHW,,7,154,62,92,,,N,N,683,858,Chicago White Sox,543650,
1922,AL,CHA,CHW,,5,155,77,77,,,N,N,691,691,Chicago White Sox,602860,
1923,AL,CHA,CHW,,7,156,69,85,,,N,N,692,741,Chicago White Sox,573778,
1924,AL,CHA,CHW,,8,154,66,87,,,N,N,793,858,Chicago White Sox,606658,
1925,AL,CHA,CHW,,5,154,79,75,,,N,N,811,770,Chicago White Sox,832231,
1926,AL,CHA,CHW,,5,155,81,72,,,N,N,730,665,Chicago White Sox,710339,
1927,AL,CHA,CHW,,5,153,70,83,,,N,N,662,708,Chicago White Sox,614423,
1928,AL,CHA,CHW,,5,155,72,82,,,N,N,656,725,Chicago White Sox,494152,
1929,AL,CHA,CHW,,7,152,59,93,,,N,N,627,792,Chicago White Sox,426795,
1930,AL,CHA,CHW,,7,154,62,92,,,N,N,729,884,Chicago White Sox,406123,
1931,AL,CHA,CHW,,8,156,56,97,,,N,N,704,939,Chicago White Sox,403550,
1932,AL,CHA,CHW,,7,152,49,102,,,N,N,667,897,Chicago White Sox,233198,
1933,AL,CHA,CHW,,6,151,67,83,,,N,N,683,814,Chicago White Sox,397789,
1934,AL,CHA,CHW,,8,153,53,99,,,N,N,704,946,Chicago White Sox,236559,
1935,AL,CHA,CHW,,5,153,74,78,,,N,N,738,750,Chicago White Sox,470281,
1936,AL,CHA,CHW,,4,153,81,70,,,N,N,920,873,Chicago White Sox,440810,
1937,AL,CHA,CHW,,3,154,86,68,,,N,N,780,730,Chicago White Sox,589245,
1938,AL,CHA,CHW,,6,149,65,83,,,N,N,709,752,Chicago White Sox,338278,
1939,AL,CHA,CHW,,4,155,85,69,,,N,N,755,737,Chicago White Sox,594104,
1940,AL,CHA,CHW,,4,155,82,72,,,N,N,735,672,Chicago White Sox,660336,
1941,AL,CHA,CHW,,3,156,77,77,,,N,N,638,649,Chicago White Sox,677077,
1942,AL,CHA,CHW,,6,148,66,82,,,N,N,538,609,Chicago White Sox,425734,
1943,AL,CHA,CHW,,4,155,82,72,,,N,N,573,594,Chicago White Sox,508962,
1944,AL,CHA,CHW,,7,154,71,83,,,N,N,543,662,Chicago White Sox,563539,
1945,AL,CHA,CHW,,6,150,71,78,,,N,N,596,633,Chicago White Sox,657981,
1946,AL,CHA,CHW,,5,155,74,80,,,N,N,562,595,Chicago White Sox,983403,
1947,AL,CHA,CHW,,6,155,70,84,,,N,N,553,661,Chicago White Sox,876948,
1948,AL,CHA,CHW,,8,154,51,101,,,N,N,559,814,Chicago White Sox,777844,
1949,AL,CHA,CHW,,6,154,63,91,,,N,N,648,737,Chicago White Sox,937151,
1950,AL,CHA,CHW,,6,156,60,94,,,N,N,625,749,Chicago White Sox,781330,
1951,AL,CHA,CHW,,4,155,81,73,,,N,N,714,644,Chicago White Sox,1328234,
1952,AL,CHA,CHW,,3,156,81,73,,,N,N,610,568,Chicago White Sox,1231675,
1953,AL,CHA,CHW,,3,156,89,65,,,N,N,716,592,Chicago White Sox,1191353,
1954,AL,CHA,CHW,,3,155,94,60,,,N,N,711,521,Chicago White Sox,1231629,
1955,AL,CHA,CHW,,3,155,91,63,,,N,N,725,557,Chicago White Sox,1175684,
1956,AL,CHA,CHW,,3,154,85,69,,,N,N,776,634,Chicago White Sox,1000090,
